StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,T1_1,T1_2,T1_3,T1_4,T1_5,T1_6,T1_7,GA1_1,GA1_2,GA1_3,GA1_4,GA1_5,GA2,GA3_1,GA3_2,GA3_3,GA3_4,GA3_5,GA3_6,GA3_7,GA3_8,GA4,GA5,GA6,N1_1,N1_2,N1_3,N1_4,N1_5,N2,N3_1,N3_2,N3_3,N3_4,N3_5,N3_6,N3_7,N3_8,N4,N5,N6,FB1_1,FB1_2,FB1_3,FB1_4,FB1_5,FB2,FB3_1,FB3_2,FB3_3,FB3_4,FB3_5,FB3_6,FB3_7,FB3_8,FB4,FB5,FB6,1,2_1,imid,Q_Language,group,SC1,SC2,SC3
2021-10-19 8:57:47,2021-10-19 9:04:31,IP Address,100,403,TRUE,2021-10-19 9:04:32,R_2VBVq2HKxAVVjsY,anonymous,NL,1,Agree -6,Agree -6,Strongly agree - 7,Somewhat agree -5,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat disagree - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Somewhat agree - 5,Somewhat agree - 5,Never - 1,Very interesting - 4,5,168751,NL,FB,0,5,0
2021-10-19 8:59:12,2021-10-19 9:05:06,IP Address,100,353,TRUE,2021-10-19 9:05:06,R_0SQTDgDIRFbYEwx,anonymous,NL,89.999.997.615.814.200.000.000,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Slightly too little attention - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Somewhat agree - 5,Neither agree nor disagree - 4,Never - 1,Somewhat agree - 5,Somewhat agree - 5,Somewhat disagree - 3,Somewhat agree - 5,Neither agree of disagree - 4,Neither too much nor too little attention - 4,Slightly too much - 5,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Somewhat agree - 5,Somewhat disagree - 3,Never - 1,Disagree - 2,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Disagree - 2,Neither too much nor too little attention - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Neither agree nor disagree - 4,Disagree - 2,Never - 1,Very interesting - 4,4,2685805,NL,ALL,3,3,3
2021-10-19 8:53:35,2021-10-19 9:05:56,IP Address,100,741,TRUE,2021-10-19 9:05:57,R_2fJmrbs5hG7XYy8,anonymous,NL,1,Agree -6,Agree -6,Strongly agree - 7,Agree -6,Disagree - 2,Disagree - 2,Strongly disagree - 1,Somewhat agree - 5,Somewhat agree - 5,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Far too little - 1,Neither agree nor disagree - 4,Agree - 6,Seldom - 2,Strongly agree - 7,Strongly agree - 7,Strongly disagree - 1,Strongly disagree - 1,Strongly disagree - 1,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Far too little - 1,Agree - 6,Agree - 6,Seldom - 2,,,,,,,,,,,,,,,,,,Moderately interesting - 3,4,4482365,NL,NOS,2,0,5
2021-10-19 9:00:20,2021-10-19 9:06:06,IP Address,100,346,TRUE,2021-10-19 9:06:07,R_10w7i601QUAlAEt,anonymous,NL,1,Agree -6,Agree -6,Somewhat agree -5,Somewhat agree -5,Somewhat disagree - 3,Somewhat disagree - 3,Disagree - 2,,,,,,,,,,,,,,,,,,Agree - 6,Somewhat agree - 5,Disagree - 2,Somewhat disagree - 3,Disagree - 2,Moderately too much attention - 6,Slightly too little - 3,Moderately too little - 2,Far too little - 1,Moderately too much - 6,Neither too much nor too little - 4,Moderately too much - 6,Moderately too much - 6,Moderately too little - 2,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Strongly disagree - 1,Somewhat disagree - 3,Agree - 6,Moderately too much attention - 6,Far too little - 1,Far too little - 1,Far too little - 1,Neither too much nor too little - 4,Moderately too little - 2,Far too much - 7,Far too much - 7,Moderately too little - 2,Somewhat agree - 5,Somewhat agree - 5,Never - 1,Slightly interesting - 2,10,574428,NL,FB,0,5,3
2021-10-19 8:52:28,2021-10-19 9:07:24,IP Address,100,896,TRUE,2021-10-19 9:07:25,R_wQQkIhFBRhc7f8t,anonymous,NL,1,Agree -6,Agree -6,Somewhat agree -5,Agree -6,Disagree - 2,Agree -6,Somewhat agree -5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree - 1,Disagree - 2,Somewhat disagree - 3,Agree - 6,Somewhat agree - 5,Slightly too little attention - 3,Far too little - 1,Far too little - 1,Moderately too little - 2,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Moderately too much - 6,Neither too much nor too little - 4,Strongly agree - 7,Disagree - 2,Never - 1,Slightly interesting - 2,7,168772,NL,FB,0,5,0
2021-10-19 8:57:10,2021-10-19 9:08:20,IP Address,100,669,TRUE,2021-10-19 9:08:20,R_sXTWtMT5YyFWm0p,anonymous,NL,1,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Agree -6,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Far too little attention - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Somewhat agree - 5,Neither agree of disagree - 4,Agree - 6,Somewhat agree - 5,Neither agree of disagree - 4,Slightly too little attention - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Far too little - 1,Slightly too little - 3,Neither too much nor too little - 4,Far too little - 1,Far too little - 1,Far too much - 7,Somewhat agree - 5,Neither agree nor disagree - 4,Never - 1,,,,,,,,,,,,,,,,,,Moderately interesting - 3,5,4434405,NL,GA,5,0,2
2021-10-19 8:54:13,2021-10-19 9:08:32,IP Address,100,858,TRUE,2021-10-19 9:08:32,R_2Xn8cQzRGsYqkX0,anonymous,NL,1,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Far too little attention - 1,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Far too little - 1,Somewhat disagree - 3,Somewhat disagree - 3,Never - 1,,,,,,,,,,,,,,,,,,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Far too little - 1,Somewhat disagree - 3,Neither agree nor disagree - 4,Never - 1,Very interesting - 4,6,4810654,NL,GA,3,5,1
2021-10-19 8:58:01,2021-10-19 9:09:47,IP Address,100,706,TRUE,2021-10-19 9:09:47,R_3PboowruzrQUT5f,anonymous,NL,89.999.997.615.814.200.000.000,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat disagree - 3,Strongly disagree - 1,Agree -6,Agree -6,Agree -6,,,,,,,,,,,,,,,,,,Somewhat disagree - 3,Somewhat disagree - 3,Somewhat agree - 5,Agree - 6,Somewhat agree - 5,Slightly too much attention - 5,Slightly too much - 5,Slightly too little - 3,Moderately too little - 2,Slightly too much - 5,Slightly too little - 3,Moderately too little - 2,Far too little - 1,Far too little - 1,Strongly agree - 7,Strongly agree - 7,Never - 1,,,,,,,,,,,,,,,,,,Very interesting - 4,6,168500,NL,NOS,0,0,5
2021-10-19 9:01:24,2021-10-19 9:09:56,IP Address,100,511,TRUE,2021-10-19 9:09:56,R_24OXmdWLGZBEZ0O,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat disagree - 3,Agree -6,Strongly agree - 7,Strongly agree - 7,,,,,,,,,,,,,,,,,,Somewhat agree - 5,Agree - 6,Agree - 6,Agree - 6,Neither agree of disagree - 4,Slightly too much attention - 5,Moderately too much - 6,Neither too much nor too little - 4,Neither too much nor too little - 4,Moderately too much - 6,Moderately too much - 6,Moderately too little - 2,Moderately too much - 6,Moderately too much - 6,Neither agree nor disagree - 4,Agree - 6,Usually - 5,Somewhat disagree - 3,Somewhat disagree - 3,Agree - 6,Strongly agree - 7,Strongly agree - 7,Neither too much nor too little attention - 4,Slightly too much - 5,Neither too much nor too little - 4,Slightly too little - 3,Moderately too much - 6,Far too much - 7,Far too little - 1,Far too little - 1,Neither too much nor too little - 4,Neither agree nor disagree - 4,Strongly agree - 7,About half of the time - 4,Very interesting - 4,3,2744799,NL,FB,1,3,4
2021-10-19 9:03:52,2021-10-19 9:10:10,IP Address,100,377,TRUE,2021-10-19 9:10:10,R_1lymoUEWONnRgkZ,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,,,,,,,,,,,,,,,,,,Somewhat agree - 5,Somewhat agree - 5,Neither agree of disagree - 4,Somewhat disagree - 3,Neither agree of disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Slightly too much - 5,Moderately too much - 6,Somewhat agree - 5,Somewhat agree - 5,Never - 1,,,,,,,,,,,,,,,,,,Moderately interesting - 3,5,173129,NL,NOS,0,0,5
2021-10-19 9:07:23,2021-10-19 9:10:27,IP Address,100,183,TRUE,2021-10-19 9:10:27,R_3RjPvL9iriigNYh,anonymous,NL,89.999.997.615.814.200.000.000,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree - 2,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Far too little - 1,Somewhat agree - 5,Somewhat agree - 5,Never - 1,Not interesting at all - 1,9,727824,NL,FB,1,5,0
2021-10-19 9:01:38,2021-10-19 9:10:51,IP Address,100,553,TRUE,2021-10-19 9:10:52,R_3Js0icjHs0kSbfb,anonymous,NL,89.999.997.615.814.200.000.000,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Agree -6,Agree -6,Somewhat agree -5,Somewhat disagree - 3,Somewhat agree - 5,Agree - 6,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Agree - 6,Agree - 6,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Disagree - 2,Strongly agree - 7,Strongly agree - 7,Agree - 6,Neither agree nor disagree - 4,Far too much attention - 7,Slightly too much - 5,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Very interesting - 4,8,4012731,NL,FB/NOS/GA,3,5,3
2021-10-19 9:05:13,2021-10-19 9:10:55,IP Address,100,341,TRUE,2021-10-19 9:10:55,R_3m8XaWI7e81ROTR,anonymous,NL,1,Agree -6,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat agree -5,Somewhat agree -5,Agree -6,Somewhat agree -5,Somewhat agree - 5,Agree - 6,Strongly agree - 7,Agree - 6,Somewhat agree - 5,Moderately too much attention - 6,Moderately too much - 6,Slightly too much - 5,Moderately too much - 6,Far too much - 7,Moderately too much - 6,Slightly too much - 5,Moderately too much - 6,Moderately too much - 6,Agree - 6,Strongly agree - 7,Usually - 5,Somewhat agree - 5,Agree - 6,Somewhat agree - 5,Agree - 6,Somewhat agree - 5,Moderately too much attention - 6,Slightly too much - 5,Moderately too much - 6,Slightly too much - 5,Slightly too much - 5,Moderately too much - 6,Far too much - 7,Moderately too much - 6,Slightly too much - 5,Agree - 6,Agree - 6,Usually - 5,Agree - 6,Somewhat agree - 5,Agree - 6,Somewhat agree - 5,Strongly agree - 7,Moderately too much attention - 6,Moderately too much - 6,Slightly too much - 5,Moderately too much - 6,Slightly too much - 5,Slightly too much - 5,Moderately too much - 6,Moderately too much - 6,Moderately too much - 6,Agree - 6,Strongly agree - 7,Always - 7,Very interesting - 4,8,167441,NL,FB,2,5,3
2021-10-19 9:04:51,2021-10-19 9:11:24,IP Address,100,393,TRUE,2021-10-19 9:11:25,R_2dWp8vrwCJOmfTj,anonymous,NL,1,Agree -6,Agree -6,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Agree - 6,Agree - 6,Agree - 6,Strongly agree - 7,Agree - 6,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Somewhat agree - 5,Somewhat agree - 5,Seldom - 2,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Somewhat agree - 5,Somewhat agree - 5,About half of the time - 4,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Agree - 6,Somewhat agree - 5,Seldom - 2,Slightly interesting - 2,7,5022410,NL,GA,5,5,4
2021-10-19 9:06:42,2021-10-19 9:13:31,IP Address,100,408,TRUE,2021-10-19 9:13:31,R_2Ckphpd0DLfhgGA,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Agree -6,Agree -6,Agree -6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree - 2,Disagree - 2,Agree - 6,Somewhat agree - 5,Agree - 6,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too much - 5,Neither too much nor too little - 4,Somewhat disagree - 3,Strongly agree - 7,Seldom - 2,Moderately interesting - 3,6,489084,NL,FB,0,3,0
2021-10-19 9:13:18,2021-10-19 9:13:48,IP Address,100,29,TRUE,2021-10-19 9:13:48,R_3huAf5pozY0kpCs,anonymous,NL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5029762,NL,,,,
2021-10-19 9:02:17,2021-10-19 9:13:53,IP Address,100,696,TRUE,2021-10-19 9:13:54,R_2rJjHiPs6UiKk0u,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Moderately too little - 2,Far too little - 1,Slightly too little - 3,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Seldom - 2,Agree - 6,Somewhat agree - 5,Disagree - 2,Neither agree of disagree - 4,Somewhat disagree - 3,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Slightly too much - 5,Neither agree nor disagree - 4,Somewhat disagree - 3,Seldom - 2,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Somewhat agree - 5,Moderately too little attention - 2,Far too little - 1,Far too little - 1,Moderately too little - 2,Slightly too little - 3,Moderately too little - 2,Moderately too little - 2,Slightly too little - 3,Neither too much nor too little - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Never - 1,Moderately interesting - 3,7,484086,NL,GA,4,5,4
2021-10-19 8:59:53,2021-10-19 9:14:05,IP Address,100,852,TRUE,2021-10-19 9:14:06,R_2QFCohnWpCPM90N,anonymous,NL,89.999.997.615.814.200.000.000,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Agree -6,Somewhat agree -5,Agree -6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree - 3,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Neither too much nor too little attention - 4,Far too little - 1,Far too little - 1,Far too little - 1,Moderately too little - 2,Far too little - 1,Slightly too little - 3,Far too little - 1,Far too little - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Very interesting - 4,5,168860,NL,FB,0,4,0
2021-10-19 9:10:05,2021-10-19 9:14:50,IP Address,100,284,TRUE,2021-10-19 9:14:50,R_2rIWgQBnZXKpjWg,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Agree -6,Somewhat disagree - 3,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat agree - 5,Somewhat agree - 5,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat disagree - 3,Neither too much nor too little attention - 4,Slightly too little - 3,Neither too much nor too little - 4,Slightly too little - 3,Slightly too much - 5,Neither too much nor too little - 4,Slightly too much - 5,Moderately too little - 2,Slightly too much - 5,Somewhat agree - 5,Neither agree nor disagree - 4,Seldom - 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slightly interesting - 2,4,2930896,NL,GA,5,0,0
2021-10-19 9:08:18,2021-10-19 9:15:09,IP Address,100,411,TRUE,2021-10-19 9:15:10,R_3iWszSvoTBm1olj,anonymous,NL,89.999.997.615.814.200.000.000,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat disagree - 3,Somewhat disagree - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree - 3,Somewhat agree - 5,Somewhat agree - 5,Neither agree nor disagree - 4,Somewhat agree - 5,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too much - 5,Moderately too much - 6,Far too much - 7,Neither agree nor disagree - 4,Somewhat agree - 5,Never - 1,Slightly interesting - 2,4,485660,NL,FB,1,5,0
2021-10-19 9:11:05,2021-10-19 9:16:35,IP Address,100,330,TRUE,2021-10-19 9:16:35,R_3GCeRUZFDX5qy29,anonymous,NL,1,Disagree - 2,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,,,,,,,,,,,,,,,,,,Somewhat agree - 5,Somewhat agree - 5,Agree - 6,Agree - 6,Agree - 6,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Agree - 6,Agree - 6,Usually - 5,Agree - 6,Agree - 6,Agree - 6,Agree - 6,Agree - 6,Moderately too much attention - 6,Slightly too much - 5,Neither too much nor too little - 4,Slightly too much - 5,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Somewhat agree - 5,Agree - 6,Most of the time - 6,Very interesting - 4,7,4712470,NL,NOS,1,2,4
2021-10-19 9:02:52,2021-10-19 9:16:47,IP Address,100,835,TRUE,2021-10-19 9:16:47,R_2QETuVS2OGOC4O8,anonymous,NL,1,Disagree - 2,Agree -6,Somewhat agree -5,Somewhat agree -5,Disagree - 2,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Agree - 6,Agree - 6,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Slightly too much attention - 5,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Moderately too little - 2,Moderately too little - 2,Moderately too little - 2,Neither too much nor too little - 4,Neither agree nor disagree - 4,Somewhat disagree - 3,Sometimes - 3,Agree - 6,Agree - 6,Agree - 6,Somewhat disagree - 3,Disagree - 2,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Somewhat agree - 5,Neither agree nor disagree - 4,Sometimes - 3,Disagree - 2,Disagree - 2,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Moderately too little - 2,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Neither agree nor disagree - 4,Somewhat agree - 5,Seldom - 2,Slightly interesting - 2,5,44208,NL,GA,3,5,2
2021-10-19 9:10:20,2021-10-19 9:17:35,IP Address,100,435,TRUE,2021-10-19 9:17:35,R_239MYdJkKYsi4sz,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Somewhat agree -5,Agree -6,Agree -6,Agree - 6,Somewhat agree - 5,Neither agree nor disagree - 4,Somewhat agree - 5,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Neither too much nor too little - 4,Slightly too little - 3,Far too little - 1,Slightly too much - 5,Somewhat agree - 5,Somewhat agree - 5,Seldom - 2,Somewhat agree - 5,Somewhat agree - 5,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither agree of disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too much - 5,Slightly too much - 5,Moderately too little - 2,Far too little - 1,Slightly too much - 5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Sometimes - 3,Somewhat disagree - 3,Somewhat agree - 5,Somewhat disagree - 3,Neither agree nor disagree - 4,Somewhat disagree - 3,Slightly too much attention - 5,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Slightly too little - 3,Disagree - 2,Neither agree nor disagree - 4,Seldom - 2,Moderately interesting - 3,5,36160,NL,FB,2,5,2
2021-10-19 9:15:03,2021-10-19 9:18:16,IP Address,100,193,TRUE,2021-10-19 9:18:17,R_3FK8Mah0EVOQfcq,anonymous,NL,1,Somewhat agree -5,Somewhat agree -5,Somewhat agree -5,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,,,,,,,,,,,,,,,,,,Agree - 6,Agree - 6,Disagree - 2,Somewhat disagree - 3,Somewhat disagree - 3,Moderately too much attention - 6,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Neither too much nor too little - 4,Neither too much nor too little - 4,Slightly too little - 3,Slightly too little - 3,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither agree nor disagree - 4,Neither agree nor disagree - 4,Never - 1,Moderately interesting - 3,6,43542,NL,NOS,0,3,5
2021-10-19 9:13:33,2021-10-19 9:19:20,IP Address,100,346,TRUE,2021-10-19 9:19:21,R_d7tzs6PLGcOOqVH,anonymous,NL,89.999.997.615.814.200.000.000,Strongly agree - 7,Agree -6,Strongly agree - 7,Strongly agree - 7,Strongly disagree - 1,Strongly disagree - 1,Strongly disagree - 1,,,,,,,,,,,,,,,,,,Strongly agree - 7,Agree - 6,Strongly disagree - 1,Strongly disagree - 1,Strongly disagree - 1,Neither too much nor too little attention - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Neither too much nor too little - 4,Somewhat disagree - 3,Somewhat disagree - 3,Never - 1,,,,,,,,,,,,,,,,,,Extremely interesting - 5,3,4989780,NL,NOS,0,0,3
